Card Identifiers,,,,,Pre-requisites (Global Parameters),,,,,,,,.,Pre-requisites (Non-Global Parameters),,,,,,,,,,,,,Tags,,,,,,,,,,,,.,Production,,,,,,,Resource,,,,,,,,Terraforming Effect,,,,,,,Interactions,,,,,,Text,,,
Card Name,Card #,Cost,Card Type,Deck,Req: Temperature,Req: Oxygen,Req: Ocean,Req: Venus,Req: Max Temperature,Req: Max Oxygen,Req: Max Ocean,Req: Max Venus,Pre-requisites (Global),Req: Science,Req: Building,Req: Space,Req: Microbe,Req: Plant,Req: Animal,Req: City,Req: Earth,Req: Jovian,Req: Energy,Req: Venus,Req: Other,Pre-requisites (Non-Global),Tag: Science,Tag: Building,Tag: Space,Tag: Microbe,Tag: Plant,Tag: Animal,Tag: City,Tag: Earth,Tag: Jovian,Tag: Energy,Tag: Venus,Tag: Event,Tags,Prod: Megacredit,Prod: Steel,Prod: Titanium,Prod: Plant,Prod: Energy,Prod: Heat,Production,Inv: Megacredit,Inv: Steel,Inv: Titanium,Inv: Plant,Inv: Energy,Inv: Heat,Other (Resources on Cards),Resource,Temperature,Oxygen,Ocean,Venus,TR,VP,Terraforming Effect,Tile/Colony Placement,# Actions and/or Effect,Depends on opponents,Affects opponents,Holds Resources,Interactions,Action or On-going Effect text,One time Effect Text,Text,
Acquired Company,106,10,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,0,,3,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your MC production 3 steps.,,
Acquired Space Agency,P35,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,6,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,"Gain 6 titanium. Reveal cards from the deck until you have revealed 2 space cards. Take those into hand, and discard the rest.",,
Adaptation Technology,153,12,Active,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,1,,No,Eff,No,No,No,,"Effect: Your global requirements are +2 or -2 steps, your choice in each case.",,,
Adapted Lichen,48,9,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your plant production 1 step.,,
Advanced Alloys,71,9,Active,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,Eff,No,No,No,,Effect: Each titanium you have is worth 1MC extra. Each steel you have is worth 1 MC extra.,,,
Advanced Ecosystems,135,11,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,1,1,1,0,0,0,0,0,No,,0,0,0,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,3,,No,0,No,No,No,,,"Requires a plant tag, a microbe tag, and an animal tag.",,
Aerial Mappers,213,11,Active,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,1,,No,2,No,No,Floaters,,"Action: Add 1 floater to ANY card, or spend 1 floater here to draw a card.",,,
Aerobraked Ammonia Asteroid,170,26,Event,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,1,0,3,,0,0,0,0,0,0,Ref,,0,0,0,0,0,0,,No,0,No,No,No,,,Add 2 microbes to ANOTHER card. Increase your heat production 3 steps and your plant production 1 step.,,
Aerosport Tournament,214,7,Event,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,Ref,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,Ref,0,0,0,0,0,No,,0,0,0,0,0,1,,No,0,Ref,Ref,No,,,Requires that you have 5 floaters. Gain 1 MC for each city tile in play.,,
AI Central,208,21,Active,Corporate,-30,0,0,0,8,14,9,30,,3,0,0,0,0,0,0,0,0,0,0,No,,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,1,,No,1,No,No,No,,Action: Draw 2 cards.,Requires 3 science tags to play. Decrease your energy production 1 step.,,
